id,station_id,alert_level,threshold_value,label,effective_from
39,13,3,40.85,Nguy hiểm,2024-09-17 06:29:07
40,14,1,9.10,Chú ý,2024-09-03 14:25:35
41,14,2,10.60,Cảnh báo,2024-09-03 14:25:35
42,14,3,12.60,Nguy hiểm,2024-09-03 14:25:35
43,15,1,47.99,Chú ý,2024-04-14 20:05:45
44,15,2,49.49,Cảnh báo,2024-04-14 20:05:45
45,15,3,51.49,Nguy hiểm,2024-04-14 20:05:45
46,16,1,70.12,Chú ý,2024-11-23 07:56:57
47,16,2,71.62,Cảnh báo,2024-11-23 07:56:57
48,16,3,73.62,Nguy hiểm,2024-11-23 07:56:57
49,17,1,5.19,Chú ý,2024-05-02 12:14:07
50,17,2,6.69,Cảnh báo,2024-05-02 12:14:07
51,17,3,8.69,Nguy hiểm,2024-05-02 12:14:07
52,18,1,95.82,Chú ý,2024-12-06 08:20:17
53,18,2,97.32,Cảnh báo,2024-12-06 08:20:17
54,18,3,99.32,Nguy hiểm,2024-12-06 08:20:17
55,19,1,41.37,Chú ý,2024-12-21 04:12:04
56,19,2,42.87,Cảnh báo,2024-12-21 04:12:04
57,19,3,44.87,Nguy hiểm,2024-12-21 04:12:04
58,20,1,26.54,Chú ý,2024-08-06 00:19:48
59,20,2,28.04,Cảnh báo,2024-08-06 00:19:48
60,20,3,30.04,Nguy hiểm,2024-08-06 00:19:48
61,21,1,91.33,Chú ý,2024-06-04 02:40:57
62,21,2,92.83,Cảnh báo,2024-06-04 02:40:57
63,21,3,94.83,Nguy hiểm,2024-06-04 02:40:57
64,22,1,52.70,Chú ý,2024-02-05 07:20:13
65,22,2,54.20,Cảnh báo,2024-02-05 07:20:13
66,22,3,56.20,Nguy hiểm,2024-02-05 07:20:13
67,23,1,64.43,Chú ý,2024-11-03 14:42:53
68,23,2,65.93,Cảnh báo,2024-11-03 14:42:53
69,23,3,67.93,Nguy hiểm,2024-11-03 14:42:53
70,24,1,39.97,Chú ý,2024-06-30 18:32:28
71,24,2,41.47,Cảnh báo,2024-06-30 18:32:28
72,24,3,43.47,Nguy hiểm,2024-06-30 18:32:28
73,25,1,95.77,Chú ý,2024-09-21 04:42:03
74,25,2,97.27,Cảnh báo,2024-09-21 04:42:03
75,25,3,99.27,Nguy hiểm,2024-09-21 04:42:03
76,26,1,76.71,Chú ý,2024-10-25 11:51:33
77,26,2,78.21,Cảnh báo,2024-10-25 11:51:33
78,26,3,80.21,Nguy hiểm,2024-10-25 11:51:33
79,27,1,17.74,Chú ý,2024-01-02 06:14:54
80,27,2,19.24,Cảnh báo,2024-01-02 06:14:54
81,27,3,21.24,Nguy hiểm,2024-01-02 06:14:54
82,28,1,51.81,Chú ý,2024-03-10 09:09:22
83,28,2,53.31,Cảnh báo,2024-03-10 09:09:22
84,28,3,55.31,Nguy hiểm,2024-03-10 09:09:22
85,29,1,31.70,Chú ý,2024-09-05 03:26:27
86,29,2,33.20,Cảnh báo,2024-09-05 03:26:27
87,29,3,35.20,Nguy hiểm,2024-09-05 03:26:27
88,30,1,77.87,Chú ý,2024-07-28 11:22:36
89,30,2,79.37,Cảnh báo,2024-07-28 11:22:36
90,30,3,81.37,Nguy hiểm,2024-07-28 11:22:36
91,31,1,61.59,Chú ý,2024-07-08 18:08:07
92,31,2,63.09,Cảnh báo,2024-07-08 18:08:07
93,31,3,65.09,Nguy hiểm,2024-07-08 18:08:07
94,32,1,100.04,Chú ý,2024-11-09 07:41:10
95,32,2,101.54,Cảnh báo,2024-11-09 07:41:10
96,32,3,103.54,Nguy hiểm,2024-11-09 07:41:10
97,33,1,58.45,Chú ý,2024-01-31 14:04:08
98,33,2,59.95,Cảnh báo,2024-01-31 14:04:08
99,33,3,61.95,Nguy hiểm,2024-01-31 14:04:08
100,34,1,99.31,Chú ý,2024-07-25 21:10:52
101,34,2,100.81,Cảnh báo,2024-07-25 21:10:52
102,34,3,102.81,Nguy hiểm,2024-07-25 21:10:52
103,35,1,96.21,Chú ý,2024-03-05 03:05:41
104,35,2,97.71,Cảnh báo,2024-03-05 03:05:41
105,35,3,99.71,Nguy hiểm,2024-03-05 03:05:41
106,36,1,97.95,Chú ý,2024-12-26 18:06:04
107,36,2,99.45,Cảnh báo,2024-12-26 18:06:04
108,36,3,101.45,Nguy hiểm,2024-12-26 18:06:04
109,37,1,72.94,Chú ý,2024-06-03 22:52:39
110,37,2,74.44,Cảnh báo,2024-06-03 22:52:39
111,37,3,76.44,Nguy hiểm,2024-06-03 22:52:39
112,38,1,53.50,Chú ý,2024-02-16 23:50:27
113,38,2,55.00,Cảnh báo,2024-02-16 23:50:27
114,38,3,57.00,Nguy hiểm,2024-02-16 23:50:27
115,39,1,60.54,Chú ý,2024-03-30 08:49:29
116,39,2,62.04,Cảnh báo,2024-03-30 08:49:29
117,39,3,64.04,Nguy hiểm,2024-03-30 08:49:29
118,40,1,64.79,Chú ý,2024-03-29 21:53:31
119,40,2,66.29,Cảnh báo,2024-03-29 21:53:31
120,40,3,68.29,Nguy hiểm,2024-03-29 21:53:31
121,41,1,9.05,Chú ý,2024-04-02 10:21:50
122,41,2,10.55,Cảnh báo,2024-04-02 10:21:50
123,41,3,12.55,Nguy hiểm,2024-04-02 10:21:50
124,42,1,15.17,Chú ý,2024-12-29 07:37:28
125,42,2,16.67,Cảnh báo,2024-12-29 07:37:28
126,42,3,18.67,Nguy hiểm,2024-12-29 07:37:28
127,43,1,80.07,Chú ý,2024-11-09 14:25:03
128,43,2,81.57,Cảnh báo,2024-11-09 14:25:03
129,43,3,83.57,Nguy hiểm,2024-11-09 14:25:03
130,44,1,44.89,Chú ý,2024-06-13 12:02:20
131,44,2,46.39,Cảnh báo,2024-06-13 12:02:20
132,44,3,48.39,Nguy hiểm,2024-06-13 12:02:20
133,45,1,69.00,Chú ý,2024-09-07 22:49:54
134,45,2,70.50,Cảnh báo,2024-09-07 22:49:54
135,45,3,72.50,Nguy hiểm,2024-09-07 22:49:54
136,46,1,81.66,Chú ý,2024-02-12 10:27:40
137,46,2,83.16,Cảnh báo,2024-02-12 10:27:40
138,46,3,85.16,Nguy hiểm,2024-02-12 10:27:40
139,47,1,15.95,Chú ý,2024-03-12 06:13:56
140,47,2,17.45,Cảnh báo,2024-03-12 06:13:56
141,47,3,19.45,Nguy hiểm,2024-03-12 06:13:56
142,48,1,9.50,Chú ý,2024-11-09 19:18:47
143,48,2,11.00,Cảnh báo,2024-11-09 19:18:47
144,48,3,13.00,Nguy hiểm,2024-11-09 19:18:47
145,49,1,66.89,Chú ý,2024-07-28 22:38:41
146,49,2,68.39,Cảnh báo,2024-07-28 22:38:41
147,49,3,70.39,Nguy hiểm,2024-07-28 22:38:41
148,50,1,76.98,Chú ý,2024-04-01 19:12:59
149,50,2,78.48,Cảnh báo,2024-04-01 19:12:59
150,50,3,80.48,Nguy hiểm,2024-04-01 19:12:59
151,51,1,88.03,Chú ý,2024-12-16 11:22:37
152,51,2,89.53,Cảnh báo,2024-12-16 11:22:37
153,51,3,91.53,Nguy hiểm,2024-12-16 11:22:37
154,52,1,40.85,Chú ý,2024-12-25 19:46:27
155,52,2,42.35,Cảnh báo,2024-12-25 19:46:27
156,52,3,44.35,Nguy hiểm,2024-12-25 19:46:27
157,53,1,71.31,Chú ý,2024-10-10 16:48:10
158,53,2,72.81,Cảnh báo,2024-10-10 16:48:10
159,53,3,74.81,Nguy hiểm,2024-10-10 16:48:10
160,54,1,17.40,Chú ý,2024-04-25 05:31:02
161,54,2,18.90,Cảnh báo,2024-04-25 05:31:02
162,54,3,20.90,Nguy hiểm,2024-04-25 05:31:02
163,55,1,55.95,Chú ý,2024-10-17 11:38:15
164,55,2,57.45,Cảnh báo,2024-10-17 11:38:15
165,55,3,59.45,Nguy hiểm,2024-10-17 11:38:15
166,56,1,52.03,Chú ý,2024-11-27 03:55:31
167,56,2,53.53,Cảnh báo,2024-11-27 03:55:31
168,56,3,55.53,Nguy hiểm,2024-11-27 03:55:31
169,57,1,9.97,Chú ý,2024-03-13 04:00:51
170,57,2,11.47,Cảnh báo,2024-03-13 04:00:51
171,57,3,13.47,Nguy hiểm,2024-03-13 04:00:51
172,58,1,25.40,Chú ý,2024-02-16 13:25:27
173,58,2,26.90,Cảnh báo,2024-02-16 13:25:27
174,58,3,28.90,Nguy hiểm,2024-02-16 13:25:27
175,59,1,5.95,Chú ý,2024-02-01 20:08:26
176,59,2,7.45,Cảnh báo,2024-02-01 20:08:26
177,59,3,9.45,Nguy hiểm,2024-02-01 20:08:26
178,60,1,33.48,Chú ý,2024-04-11 06:30:44
179,60,2,34.98,Cảnh báo,2024-04-11 06:30:44
180,60,3,36.98,Nguy hiểm,2024-04-11 06:30:44
181,61,1,28.43,Chú ý,2024-02-20 19:52:26
182,61,2,29.93,Cảnh báo,2024-02-20 19:52:26
183,61,3,31.93,Nguy hiểm,2024-02-20 19:52:26
184,62,1,94.44,Chú ý,2024-12-29 09:40:32
185,62,2,95.94,Cảnh báo,2024-12-29 09:40:32
186,62,3,97.94,Nguy hiểm,2024-12-29 09:40:32
187,63,1,58.02,Chú ý,2024-02-08 19:53:34
188,63,2,59.52,Cảnh báo,2024-02-08 19:53:34
189,63,3,61.52,Nguy hiểm,2024-02-08 19:53:34
190,64,1,15.18,Chú ý,2024-05-15 12:59:53
191,64,2,16.68,Cảnh báo,2024-05-15 12:59:53
192,64,3,18.68,Nguy hiểm,2024-05-15 12:59:53
193,65,1,30.36,Chú ý,2024-06-19 04:10:34
194,65,2,31.86,Cảnh báo,2024-06-19 04:10:34
195,65,3,33.86,Nguy hiểm,2024-06-19 04:10:34
196,66,1,99.89,Chú ý,2024-11-09 10:43:00
197,66,2,101.39,Cảnh báo,2024-11-09 10:43:00
198,66,3,103.39,Nguy hiểm,2024-11-09 10:43:00
199,67,1,57.18,Chú ý,2024-12-27 20:35:44
200,67,2,58.68,Cảnh báo,2024-12-27 20:35:44
201,67,3,60.68,Nguy hiểm,2024-12-27 20:35:44
202,68,1,28.31,Chú ý,2024-12-11 12:43:24
203,68,2,29.81,Cảnh báo,2024-12-11 12:43:24
204,68,3,31.81,Nguy hiểm,2024-12-11 12:43:24
205,69,1,30.03,Chú ý,2024-03-22 19:12:38
206,69,2,31.53,Cảnh báo,2024-03-22 19:12:38
207,69,3,33.53,Nguy hiểm,2024-03-22 19:12:38
208,70,1,86.86,Chú ý,2024-07-15 06:45:13
209,70,2,88.36,Cảnh báo,2024-07-15 06:45:13
210,70,3,90.36,Nguy hiểm,2024-07-15 06:45:13
211,71,1,7.05,Chú ý,2024-09-03 07:57:34
212,71,2,8.55,Cảnh báo,2024-09-03 07:57:34
213,71,3,10.55,Nguy hiểm,2024-09-03 07:57:34
214,72,1,35.19,Chú ý,2024-02-20 19:19:39
215,72,2,36.69,Cảnh báo,2024-02-20 19:19:39
216,72,3,38.69,Nguy hiểm,2024-02-20 19:19:39
217,73,1,45.96,Chú ý,2024-10-01 01:17:50
218,73,2,47.46,Cảnh báo,2024-10-01 01:17:50
219,73,3,49.46,Nguy hiểm,2024-10-01 01:17:50
220,74,1,96.03,Chú ý,2024-09-25 08:46:10
221,74,2,97.53,Cảnh báo,2024-09-25 08:46:10
222,74,3,99.53,Nguy hiểm,2024-09-25 08:46:10
223,75,1,38.74,Chú ý,2024-08-02 13:54:25
224,75,2,40.24,Cảnh báo,2024-08-02 13:54:25
225,75,3,42.24,Nguy hiểm,2024-08-02 13:54:25
226,76,1,38.28,Chú ý,2024-12-28 09:00:38
227,76,2,39.78,Cảnh báo,2024-12-28 09:00:38
228,76,3,41.78,Nguy hiểm,2024-12-28 09:00:38
229,77,1,37.60,Chú ý,2024-09-21 21:19:20
230,77,2,39.10,Cảnh báo,2024-09-21 21:19:20
231,77,3,41.10,Nguy hiểm,2024-09-21 21:19:20
232,78,1,57.71,Chú ý,2024-12-05 16:54:48
233,78,2,59.21,Cảnh báo,2024-12-05 16:54:48
234,78,3,61.21,Nguy hiểm,2024-12-05 16:54:48
235,79,1,94.11,Chú ý,2024-04-01 22:33:06
236,79,2,95.61,Cảnh báo,2024-04-01 22:33:06
237,79,3,97.61,Nguy hiểm,2024-04-01 22:33:06
238,80,1,19.62,Chú ý,2024-06-09 02:51:44
239,80,2,21.12,Cảnh báo,2024-06-09 02:51:44
240,80,3,23.12,Nguy hiểm,2024-06-09 02:51:44
241,81,1,79.85,Chú ý,2024-06-08 21:26:41
242,81,2,81.35,Cảnh báo,2024-06-08 21:26:41
243,81,3,83.35,Nguy hiểm,2024-06-08 21:26:41
244,82,1,26.69,Chú ý,2024-03-02 19:49:53
245,82,2,28.19,Cảnh báo,2024-03-02 19:49:53
246,82,3,30.19,Nguy hiểm,2024-03-02 19:49:53
247,83,1,5.85,Chú ý,2024-07-01 19:08:56
248,83,2,7.35,Cảnh báo,2024-07-01 19:08:56
249,83,3,9.35,Nguy hiểm,2024-07-01 19:08:56
250,84,1,36.79,Chú ý,2024-11-14 15:57:12
251,84,2,38.29,Cảnh báo,2024-11-14 15:57:12
252,84,3,40.29,Nguy hiểm,2024-11-14 15:57:12
253,85,1,67.67,Chú ý,2024-06-03 17:58:19
254,85,2,69.17,Cảnh báo,2024-06-03 17:58:19
255,85,3,71.17,Nguy hiểm,2024-06-03 17:58:19
256,86,1,78.95,Chú ý,2024-05-16 08:55:08
257,86,2,80.45,Cảnh báo,2024-05-16 08:55:08
258,86,3,82.45,Nguy hiểm,2024-05-16 08:55:08
259,87,1,85.94,Chú ý,2024-05-08 14:32:25
260,87,2,87.44,Cảnh báo,2024-05-08 14:32:25
261,87,3,89.44,Nguy hiểm,2024-05-08 14:32:25
262,88,1,19.77,Chú ý,2024-04-13 02:19:33
263,88,2,21.27,Cảnh báo,2024-04-13 02:19:33
264,88,3,23.27,Nguy hiểm,2024-04-13 02:19:33
265,89,1,74.49,Chú ý,2024-05-01 19:41:04
266,89,2,75.99,Cảnh báo,2024-05-01 19:41:04
267,89,3,77.99,Nguy hiểm,2024-05-01 19:41:04
268,90,1,40.33,Chú ý,2024-08-11 22:11:24
269,90,2,41.83,Cảnh báo,2024-08-11 22:11:24
270,90,3,43.83,Nguy hiểm,2024-08-11 22:11:24
271,91,1,2.17,Chú ý,2024-12-25 10:59:08
272,91,2,3.67,Cảnh báo,2024-12-25 10:59:08
273,91,3,5.67,Nguy hiểm,2024-12-25 10:59:08
274,92,1,75.82,Chú ý,2024-09-17 10:42:38
275,92,2,77.32,Cảnh báo,2024-09-17 10:42:38
276,92,3,79.32,Nguy hiểm,2024-09-17 10:42:38
277,93,1,68.09,Chú ý,2024-05-08 05:41:14
278,93,2,69.59,Cảnh báo,2024-05-08 05:41:14
279,93,3,71.59,Nguy hiểm,2024-05-08 05:41:14
280,94,1,73.62,Chú ý,2024-04-26 15:12:23
281,94,2,75.12,Cảnh báo,2024-04-26 15:12:23
282,94,3,77.12,Nguy hiểm,2024-04-26 15:12:23
283,95,1,42.04,Chú ý,2024-04-24 19:42:22
284,95,2,43.54,Cảnh báo,2024-04-24 19:42:22
285,95,3,45.54,Nguy hiểm,2024-04-24 19:42:22
286,96,1,95.57,Chú ý,2024-09-20 01:03:38
287,96,2,97.07,Cảnh báo,2024-09-20 01:03:38
288,96,3,99.07,Nguy hiểm,2024-09-20 01:03:38
289,97,1,31.94,Chú ý,2024-07-31 19:08:41
290,97,2,33.44,Cảnh báo,2024-07-31 19:08:41
291,97,3,35.44,Nguy hiểm,2024-07-31 19:08:41
292,98,1,44.77,Chú ý,2024-08-13 05:50:59
293,98,2,46.27,Cảnh báo,2024-08-13 05:50:59
294,98,3,48.27,Nguy hiểm,2024-08-13 05:50:59
295,99,1,45.99,Chú ý,2024-03-23 23:50:29
296,99,2,47.49,Cảnh báo,2024-03-23 23:50:29
297,99,3,49.49,Nguy hiểm,2024-03-23 23:50:29
298,100,1,81.20,Chú ý,2024-03-06 21:38:18
299,100,2,82.70,Cảnh báo,2024-03-06 21:38:18
300,100,3,84.70,Nguy hiểm,2024-03-06 21:38:18
301,101,1,64.98,Chú ý,2024-05-10 04:10:51
302,101,2,66.48,Cảnh báo,2024-05-10 04:10:51
303,101,3,68.48,Nguy hiểm,2024-05-10 04:10:51
304,102,1,68.94,Chú ý,2024-03-28 05:48:09
305,102,2,70.44,Cảnh báo,2024-03-28 05:48:09
306,102,3,72.44,Nguy hiểm,2024-03-28 05:48:09
307,103,1,26.36,Chú ý,2024-07-03 12:35:30
308,103,2,27.86,Cảnh báo,2024-07-03 12:35:30
309,103,3,29.86,Nguy hiểm,2024-07-03 12:35:30
310,104,1,43.24,Chú ý,2024-09-01 13:50:19
311,104,2,44.74,Cảnh báo,2024-09-01 13:50:19
312,104,3,46.74,Nguy hiểm,2024-09-01 13:50:19
313,105,1,51.19,Chú ý,2024-04-04 18:05:59
314,105,2,52.69,Cảnh báo,2024-04-04 18:05:59
315,105,3,54.69,Nguy hiểm,2024-04-04 18:05:59
316,106,1,76.72,Chú ý,2024-10-26 01:21:02
317,106,2,78.22,Cảnh báo,2024-10-26 01:21:02
318,106,3,80.22,Nguy hiểm,2024-10-26 01:21:02
319,107,1,19.50,Chú ý,2024-09-27 06:22:04
320,107,2,21.00,Cảnh báo,2024-09-27 06:22:04
321,107,3,23.00,Nguy hiểm,2024-09-27 06:22:04
322,108,1,93.29,Chú ý,2024-02-17 03:08:38
323,108,2,94.79,Cảnh báo,2024-02-17 03:08:38
324,108,3,96.79,Nguy hiểm,2024-02-17 03:08:38
325,109,1,54.85,Chú ý,2024-08-05 01:33:40
326,109,2,56.35,Cảnh báo,2024-08-05 01:33:40
327,109,3,58.35,Nguy hiểm,2024-08-05 01:33:40
328,110,1,46.04,Chú ý,2024-11-12 12:24:40
329,110,2,47.54,Cảnh báo,2024-11-12 12:24:40
330,110,3,49.54,Nguy hiểm,2024-11-12 12:24:40
331,111,1,92.23,Chú ý,2024-06-22 04:12:57
332,111,2,93.73,Cảnh báo,2024-06-22 04:12:57
333,111,3,95.73,Nguy hiểm,2024-06-22 04:12:57
334,112,1,46.78,Chú ý,2024-10-18 23:04:03
335,112,2,48.28,Cảnh báo,2024-10-18 23:04:03
336,112,3,50.28,Nguy hiểm,2024-10-18 23:04:03
337,113,1,79.38,Chú ý,2024-07-07 04:46:17
338,113,2,80.88,Cảnh báo,2024-07-07 04:46:17
339,113,3,82.88,Nguy hiểm,2024-07-07 04:46:17
340,114,1,73.00,Chú ý,2024-04-01 01:38:18
341,114,2,74.50,Cảnh báo,2024-04-01 01:38:18
342,114,3,76.50,Nguy hiểm,2024-04-01 01:38:18
343,115,1,10.02,Chú ý,2024-02-28 13:50:37
344,115,2,11.52,Cảnh báo,2024-02-28 13:50:37
345,115,3,13.52,Nguy hiểm,2024-02-28 13:50:37
346,116,1,23.29,Chú ý,2024-06-10 02:50:56
347,116,2,24.79,Cảnh báo,2024-06-10 02:50:56
348,116,3,26.79,Nguy hiểm,2024-06-10 02:50:56
349,117,1,8.20,Chú ý,2024-11-19 11:06:30
350,117,2,9.70,Cảnh báo,2024-11-19 11:06:30
351,117,3,11.70,Nguy hiểm,2024-11-19 11:06:30
352,118,1,96.13,Chú ý,2024-01-08 14:03:03
353,118,2,97.63,Cảnh báo,2024-01-08 14:03:03
354,118,3,99.63,Nguy hiểm,2024-01-08 14:03:03
355,119,1,49.46,Chú ý,2024-05-16 14:37:46
356,119,2,50.96,Cảnh báo,2024-05-16 14:37:46
357,119,3,52.96,Nguy hiểm,2024-05-16 14:37:46
358,120,1,96.87,Chú ý,2024-06-11 17:33:41
359,120,2,98.37,Cảnh báo,2024-06-11 17:33:41
360,120,3,100.37,Nguy hiểm,2024-06-11 17:33:41
361,121,1,62.02,Chú ý,2024-03-26 15:34:10
362,121,2,63.52,Cảnh báo,2024-03-26 15:34:10
363,121,3,65.52,Nguy hiểm,2024-03-26 15:34:10
364,122,1,4.89,Chú ý,2024-05-10 12:57:15
365,122,2,6.39,Cảnh báo,2024-05-10 12:57:15
366,122,3,8.39,Nguy hiểm,2024-05-10 12:57:15
367,123,1,18.42,Chú ý,2024-06-30 12:23:30
368,123,2,19.92,Cảnh báo,2024-06-30 12:23:30
369,123,3,21.92,Nguy hiểm,2024-06-30 12:23:30
370,124,1,4.68,Chú ý,2024-06-02 00:32:05
371,124,2,6.18,Cảnh báo,2024-06-02 00:32:05
372,124,3,8.18,Nguy hiểm,2024-06-02 00:32:05
373,125,1,65.95,Chú ý,2024-02-22 16:48:39
374,125,2,67.45,Cảnh báo,2024-02-22 16:48:39
375,125,3,69.45,Nguy hiểm,2024-02-22 16:48:39
376,126,1,39.72,Chú ý,2024-03-23 04:49:00
377,126,2,41.22,Cảnh báo,2024-03-23 04:49:00
378,126,3,43.22,Nguy hiểm,2024-03-23 04:49:00
379,127,1,39.72,Chú ý,2024-10-19 01:14:22
380,127,2,41.22,Cảnh báo,2024-10-19 01:14:22
381,127,3,43.22,Nguy hiểm,2024-10-19 01:14:22
382,128,1,48.80,Chú ý,2024-10-17 21:24:43
383,128,2,50.30,Cảnh báo,2024-10-17 21:24:43
384,128,3,52.30,Nguy hiểm,2024-10-17 21:24:43
385,129,1,24.31,Chú ý,2024-01-27 15:34:10
386,129,2,25.81,Cảnh báo,2024-01-27 15:34:10
387,129,3,27.81,Nguy hiểm,2024-01-27 15:34:10
388,130,1,5.09,Chú ý,2024-04-06 00:50:50
389,130,2,6.59,Cảnh báo,2024-04-06 00:50:50
390,130,3,8.59,Nguy hiểm,2024-04-06 00:50:50
391,131,1,25.74,Chú ý,2024-07-02 21:54:32
392,131,2,27.24,Cảnh báo,2024-07-02 21:54:32
393,131,3,29.24,Nguy hiểm,2024-07-02 21:54:32
394,132,1,48.27,Chú ý,2024-04-09 12:21:51
395,132,2,49.77,Cảnh báo,2024-04-09 12:21:51
396,132,3,51.77,Nguy hiểm,2024-04-09 12:21:51
397,133,1,97.89,Chú ý,2024-10-05 23:34:28
398,133,2,99.39,Cảnh báo,2024-10-05 23:34:28
399,133,3,101.39,Nguy hiểm,2024-10-05 23:34:28
400,134,1,32.95,Chú ý,2024-08-12 17:43:57
401,134,2,34.45,Cảnh báo,2024-08-12 17:43:57
402,134,3,36.45,Nguy hiểm,2024-08-12 17:43:57
403,135,1,92.35,Chú ý,2024-05-25 18:06:51
404,135,2,93.85,Cảnh báo,2024-05-25 18:06:51
405,135,3,95.85,Nguy hiểm,2024-05-25 18:06:51
406,136,1,60.91,Chú ý,2024-11-18 13:29:19
407,136,2,62.41,Cảnh báo,2024-11-18 13:29:19
408,136,3,64.41,Nguy hiểm,2024-11-18 13:29:19
409,137,1,32.01,Chú ý,2024-09-22 17:45:23
410,137,2,33.51,Cảnh báo,2024-09-22 17:45:23
411,137,3,35.51,Nguy hiểm,2024-09-22 17:45:23
412,138,1,58.31,Chú ý,2024-01-16 22:47:31
413,138,2,59.81,Cảnh báo,2024-01-16 22:47:31
414,138,3,61.81,Nguy hiểm,2024-01-16 22:47:31
415,139,1,8.86,Chú ý,2024-09-08 11:32:26
416,139,2,10.36,Cảnh báo,2024-09-08 11:32:26
417,139,3,12.36,Nguy hiểm,2024-09-08 11:32:26
418,140,1,50.78,Chú ý,2024-06-17 08:43:51
419,140,2,52.28,Cảnh báo,2024-06-17 08:43:51
420,140,3,54.28,Nguy hiểm,2024-06-17 08:43:51
421,141,1,72.38,Chú ý,2024-06-18 03:02:03
422,141,2,73.88,Cảnh báo,2024-06-18 03:02:03
423,141,3,75.88,Nguy hiểm,2024-06-18 03:02:03
424,142,1,28.87,Chú ý,2024-11-09 20:57:45
425,142,2,30.37,Cảnh báo,2024-11-09 20:57:45
426,142,3,32.37,Nguy hiểm,2024-11-09 20:57:45
427,143,1,45.34,Chú ý,2024-10-10 21:39:29
428,143,2,46.84,Cảnh báo,2024-10-10 21:39:29
429,143,3,48.84,Nguy hiểm,2024-10-10 21:39:29
430,144,1,84.66,Chú ý,2024-02-03 15:45:24
431,144,2,86.16,Cảnh báo,2024-02-03 15:45:24
432,144,3,88.16,Nguy hiểm,2024-02-03 15:45:24
433,145,1,48.24,Chú ý,2024-08-25 00:42:13
434,145,2,49.74,Cảnh báo,2024-08-25 00:42:13
435,145,3,51.74,Nguy hiểm,2024-08-25 00:42:13
436,146,1,86.67,Chú ý,2024-03-11 14:52:13
437,146,2,88.17,Cảnh báo,2024-03-11 14:52:13
438,146,3,90.17,Nguy hiểm,2024-03-11 14:52:13
439,147,1,35.86,Chú ý,2024-12-07 21:10:36
440,147,2,37.36,Cảnh báo,2024-12-07 21:10:36
441,147,3,39.36,Nguy hiểm,2024-12-07 21:10:36
442,148,1,3.01,Chú ý,2024-03-15 04:46:29
443,148,2,4.51,Cảnh báo,2024-03-15 04:46:29
444,148,3,6.51,Nguy hiểm,2024-03-15 04:46:29
445,149,1,57.24,Chú ý,2024-04-03 07:58:53
446,149,2,58.74,Cảnh báo,2024-04-03 07:58:53
447,149,3,60.74,Nguy hiểm,2024-04-03 07:58:53
448,150,1,46.59,Chú ý,2024-01-07 16:43:07
449,150,2,48.09,Cảnh báo,2024-01-07 16:43:07
450,150,3,50.09,Nguy hiểm,2024-01-07 16:43:07
451,151,1,26.21,Chú ý,2024-09-14 20:33:21
452,151,2,27.71,Cảnh báo,2024-09-14 20:33:21
453,151,3,29.71,Nguy hiểm,2024-09-14 20:33:21
454,152,1,36.20,Chú ý,2024-10-16 16:37:19
455,152,2,37.70,Cảnh báo,2024-10-16 16:37:19
